"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-24 15:05:00" 21.01 46.1
A84041274A59D771 EMAP_322 "2025-01-24 15:10:00" 20.97 46.4
A84041274A59D771 EMAP_322 "2025-01-24 15:15:00" 20.97 46.2
A84041274A59D771 EMAP_322 "2025-01-24 15:20:00" 20.93 46.2
A84041274A59D771 EMAP_322 "2025-01-24 15:25:00" 20.90 46.5
A84041274A59D771 EMAP_322 "2025-01-24 15:30:00" 20.84 47.2
A84041274A59D771 EMAP_322 "2025-01-24 15:35:00" 20.79 47.8
A84041274A59D771 EMAP_322 "2025-01-24 15:40:00" 20.75 48.4
A84041274A59D771 EMAP_322 "2025-01-24 15:45:00" 20.67 48.7
A84041274A59D771 EMAP_322 "2025-01-24 15:50:00" 20.62 48.6
A84041274A59D771 EMAP_322 "2025-01-24 15:55:00" 20.52 48.5
A84041274A59D771 EMAP_322 "2025-01-24 16:00:00" 20.48 48.7
A84041274A59D771 EMAP_322 "2025-01-24 16:05:00" 20.42 48.9
A84041274A59D771 EMAP_322 "2025-01-24 16:10:00" 20.35 49.0
A84041274A59D771 EMAP_322 "2025-01-24 16:15:00" 20.31 49.0
A84041274A59D771 EMAP_322 "2025-01-24 16:20:00" 20.22 49.0
A84041274A59D771 EMAP_322 "2025-01-24 16:25:00" 20.20 48.8
A84041274A59D771 EMAP_322 "2025-01-24 16:30:00" 20.10 48.7
A84041274A59D771 EMAP_322 "2025-01-24 16:35:00" 20.05 48.6
A84041274A59D771 EMAP_322 "2025-01-24 16:40:00" 20.00 48.2
A84041274A59D771 EMAP_322 "2025-01-24 16:45:00" 19.95 48.4
